cause,mean50,mean60,ratio,p,role,n50,n60
Alzheimer's disease and other dementias,675.5120524693423,663.0041786428092,0.9814838628255256,0.04426095627249503,outcome,13,24
Colon and rectum cancer,331.9769856258669,296.79928114407,0.8940357133026032,0.00045801396935388943,placebo,13,24
Ischemic heart disease,772.9784460200855,789.9170009969699,1.0219133600220003,0.33068101736504474,placebo,13,24
Stomach cancer,86.08580005555692,81.13317762308166,0.942468764543293,0.18721054661833045,comparator-real-variation,13,24
Stroke,1237.2705504941675,1124.546685486368,0.9088931156061401,0.011208887124885837,comparator-real-variation,13,24
